"Jméno";"IČ";"DIČ";"Mobilní telefon";"Telefon do práce";"Banka";"Osoba";"Země";"Kraj";"Město";"PSČ";"Ulice";"Číslo účtu";"Var. symbol";"Skupina";"Poznámka"
"Nadační fond Jičín-Město pohádky";"15056627";"CZ15056627";"+420 730 510 990";"";"";"Malý Dominik";"Česká republika";"Severočeský";"Jičín";"506 01";"Denisova 400";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Triglaw Corp s.r.o.";"27455637";"CZ27455637";"+420 739 477 063";"";"";"Müller Zlatuše";"Česká republika";"Středočeský";"Praha ";"110 00";"Na Neklance 904/26";"";"";"Agentury";""
"Luboš Cahák - AGENTURA MONIKA";"18288383";"CZ18288383";"+420 602 443 432";"+420 602 408 716";"";"Cahák Luboš";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Senovážné náměstí 2";"";"";"Agentury";""
"MEDIA PRODUCTION MUSIC, s.r.o.";"26363348";"CZ26363348";"+420 602 654 387";"";"";"Kukla Petr";"Česká republika";"Západočeský";"Plzeň";"301 00";"Zikmunda Wintra 21";"";"";"Agentury";""
"Mš Hluboká nad Vltavou";"75000181";"";"777 003 435";"";"";"Iva Fáberová";"Česká republika";"Jihočeský";"Hluboká nad Vltavou";"373 41";"Ruská 527";"";"";"Školy";""
"Mateřská škola Školička, s.r.o.";"";"";"+420 734 233 694";"";"";"Hanzlíková Markéta";"Česká republika";"Středočeský";"Praha ";"110 00";"Na Vyhlídce 68/105";"";"";"Školy";""
"Městské divadlo Český Krumlov o.p.s.";"65006267";"";"+420 602 200 649";"+420 380 727 367";"";"Hruška Jaromír ";"Česká republika";"Jihočeský";"Český Krumlov";"381 01";"Horní brána 2";"";"NULL";"Divadla,Kulturní zařízení";""
"Promoplanet s.r.o.";"";"";"+420 736 484 750 ";"";"";"Šudomová Monika";"Česká republika";"Jihomoravský";"Brno";"614 00";"Cormovova 52 ";"";"NULL";"Agentury";""
"Klubko 55 s.r.o.";"27937895";"CZ27937895";"777 455 555";"";"";"Petrišťák Milan ";"Česká republika";"Středočeský";"Kladno";"272 52";"Pekařská 2030";"";"NULL";"Agentury";""
"Nebovidská tvrz, z.s.";"22749063";"";"+420 737 736 889";"";"";"Doušová Lucie";"Česká republika";"Středočeský";"Nebovidy";"280 02";"Nebovidy 75";"";"NULL";"Agentury";""
"Město Tábor";"253014";"CZ00253014";"+420 725 529 074";"+420 381 486 303";"";"Nováková Jana - Tábor";"Česká republika";"Jihočeský";"Tábor";"390 15";"Žižkovo náměstí 2";"";"NULL";"Městské a obecní úřady";""
"PAROLAART, s.r.o.";"25309897";"CZ25309897";"+420 603 288 483";"";"";"Brožová Veronika";"Česká republika";"Východočeský";"Jihlava";"586 01";"Fritzova 34";"";"NULL";"Agentury";""
"Heba Agency s.r.o.";"26039184";"";"+420 602 271 168";"";"";"Heba Jiří";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Na Sadech 2036/18";"";"NULL";"Agentury";""
"Horká vana";"74688782";"";"+420 777196823";"";"";"Tomáš Karlík";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Česká";"";"NULL";"Agentury";""
"Galerie umění Karlovy Vary, příspěvková organizace Karlovarského kraje";"66362768";"";"+420 724 088 028";"";"";"Tóthová Lenka";"Česká republika";"Západočeský";"Karlovy Vary";"360 01";"Goethova Stezka 6";"";"NULL";"Divadla,Kulturní zařízení";""
